"","Q1","Q1o1","Q1o2","Q1o3","Q1corr_ans","Q2","Q2o1","Q2o2","Q2o3","Q2corr_ans","Q3","Q3o1","Q3o2","Q3o3","Q3corr_ans"
"30","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","B.Right","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","B.Benjamin","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"31","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","C.There is not enough information","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","B.Benjamin","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"32","Allan is standing in front of the weather station facing it, he wants to buy some coffee for his friends so they can take a break, in which direction does he need to go?","A. Left","B.Right","C.There is not enough information","B.Right","A local fisherman’s boat has recently broken down, the fisherman doesn’t want to delay the lighthouse repair too much but also needs his boat fixed so decides to ask the least best mechanic to help him. Whom should he ask?","A.Susan","B.Benjamin","C.There is not enough information","C.There is not enough information","The Island has a ___ population","A.Large","B.Small","C.There is not enough information","B.Small"
"33","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","C.There is not enough information","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","C.There is not enough information","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"34","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","A.Terrance","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","A.Up","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"35","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","C.There is not enough information","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","A.Up","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"36","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","A.Terrance","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","C.There is not enough information","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"37","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","C.There is not enough information","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","C.There is not enough information","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"38","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","A.Up","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","A.Terrance","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"39","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","C.There is not enough information","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","A.Terrance","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"40","Joan has decided she wants to find the flooded cavern at Lincoln gorge, she is currently at the rest stop. In which direction would she need to go to find it?","A.Up","B.Down","C.There is not enough information","A.Up","The Caves of Lincoln gorge can be dangerous to the inexperienced caver. Who in Terrance’s family is the least experienced?","A.Terrance","B.Stephen","C.There is not enough information","C.There is not enough information","Terrance’s biological father is called___","A.Andrew","B.Balthazar","C.There is not enough information","C. There is not enough information to answer"
"41","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","C.There is not enough information","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","C.There is not enough information","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"42","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","A.Harriet’s","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","A.Towards the bridge","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"43","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","C.There is not enough information","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","A.Towards the bridge","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"44","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","A.Harriet’s","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","C.There is not enough information","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"45","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","C.There is not enough information","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","C.There is not enough information","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"46","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","A.Towards the bridge","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","A.Harriet’s","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"47","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","C.There is not enough information","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","A.Harriet’s","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"48","Harriet has been stopped by the police but is allowed to pass, she is tired and wants to get a coffee. Which way does she need to head?","A.Towards the bridge","B.Away from the bridge","C.There is not enough information","A.Towards the bridge","A car thief is in Harriet’s neighbourhood and wants to make away with the most expensive car, who’s car does he steal?","A.Harriet’s","B.Olive’s","C.There is not enough information","C.There is not enough information","Harriet ____ Barry","A.Likes","B.Dislikes","C.There is not enough information","B.Dislikes"
"49","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","C.There is not enough information","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","C.There is not enough information","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"50","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","B.The Art Department","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","B.Right","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"51","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","C.There is not enough information","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","B.Right","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"52","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","B.The Art Department","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","C.There is not enough information","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"53","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","C.There is not enough information","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","C.There is not enough information","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"54","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","B.Right","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","B.The Art Department","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"55","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","C.There is not enough information","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","B.The Art Department","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"56","In order to get from the refreshment’s table to the photo booth which way would one have to go to get to the table with well wishes?","A.Left","B.Right","C.There is not enough information","B.Right","The School board is deciding which departments should receive  more funding for the next year and have decided  the basketball team would receive the most funding, who should receive the second most amount of funding based on it’s popularity?","A.The football team","B.The art department","C.There is not enough information","C.There is not enough information","The theme of the Prom is___","A.1950’s","B.1960’s","C.There is not enough information","A.1950’s"
"57","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","C.There is not enough information","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","C.There is not enough information","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"58","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","B.Ralph","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","A.The wildlife charity","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"59","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","C.There is not enough information","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","A.The wildlife charity","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"60","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","B.Ralph","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","C.There is not enough information","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"61","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","C.There is not enough information","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","C.There is not enough information","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"62","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","A.The wildlife charity","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","B.Ralph","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"63","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","C.There is not enough information","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","B.Ralph","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"64","The Mayor has decided that he would match the donations of the top charity running team. Which charity is most likely to receive  this donation from the Mayor?","A.The wildlife charity","B.The cancer charity","C.There is not enough information","A.The wildlife charity","After the marathon the three friends decide to compete with only each other, who is most likely to win?","A.Dustin","B.Ralph","C.There is not enough information","C.There is not enough information","The Dunwich draws crowds from all over the___","A.County","B.Town","C.There is not enough information","A.County"
"65","Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?","A.Catherine","B.Thom","C.There is not enough information","C.There is not enough information","The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?","A.Up","B.Down","C.There is not enough information","C.There is not enough information","The Ski resort caters to","A.Wealthy people","B.People on a budget","C.There is not enough information","A.Wealthy people"
"66","Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?","A.Catherine","B.Thom","C.There is not enough information","B.Thom","The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?","A.Up","B.Down","C.There is not enough information","A.Up","The Ski resort caters to","A.Wealthy people","B.People on a budget","C.There is not enough information","A.Wealthy people"
"67","Jonathan, Catherine and Thom are the first to arrive at the exclusive lodge this season, who is the least wealthy out of all of them?","A.Catherine","B.Thom","C.There is not enough information","C.There is not enough information","The Lodge is urgently looking for the missing child. A local police man is at the lodge and decides to look for the child himself which way should he head?","A.Up","B.Down","C.There is not enough information","A.Up","The Ski resort caters to","A.Wealthy people","B.People on a budget","C.There is not enough information","A.Wealthy people"
