"","Item","Ambiguity","SpaNwords","SocNwords","SpaF-K","SocF-K","SpaMeanWordLength","SocMeanWordLength","SpaMeanWordFrequency","SocMeanWordFrequency"
"17",17,"y",129,100,6.5072203765227,10.444,3.93798449612403,4.33,6.10846774193548,5.9803125
"18",18,"y",105,155,8.42928571428572,10.8890977443609,4.55238095238095,4.68421052631579,5.80330097087379,5.98767123287671
"19",19,"y",111,79,7.11454545454545,10.1688461538462,4.15596330275229,4.51282051282051,6.12951923076923,5.74051948051948
"20",20,"y",122,153,9.74386776859504,8.94933333333333,4.31404958677686,3.88,6.10068376068376,5.99613793103448
"21",21,"y",150,85,8.28948545861298,9.98924698795181,4.53691275167785,4.72619047619048,5.97216216216216,5.92617283950617
"22",22,"y",115,111,7.10040455120101,11.6008027522936,4.53097345132743,4.20183486238532,6.03801801801802,6.02392523364486
"23",23,"y",121,98,9.71333333333333,9.49352577319588,4.65,4.41237113402062,5.88581196581197,5.96451612903226
"24",24,"y",106,101,7.88679245283019,8.52032989690722,4.31775700934579,4.36082474226804,5.75849056603774,6.12263736263736
"25",1,"n",99,125,10.7259393939394,10.6326422764228,4.81818181818182,4.54471544715447,5.79484848484848,5.94289256198347
"26",2,"n",118,101,8.71282608695653,8.03373195876289,4.48695652173913,4.32989690721649,6.05053571428571,5.88467391304348
"27",3,"n",105,116,9.79428571428572,10.2138571428571,4.44339622641509,4.40178571428571,5.82314285714286,5.9175
"28",4,"n",116,111,7.65684210526316,7.88986486486487,4.42982456140351,4.09821428571429,5.89883928571429,6.04144144144144
"29",5,"n",93,104,10.9500215053763,10.0867184466019,4.76595744680851,4.47115384615385,5.76387096774194,5.72833333333333
"30",6,"n",107,76,7.68649532710281,7.72317808219178,4.30841121495327,4.78082191780822,6.0532380952381,5.7136231884058
"31",7,"n",103,129,8.09933333333333,10.1633035714286,4.51960784313725,5.03875968992248,5.89373737373737,5.69629921259842
"32",8,"n",120,116,7.59966386554622,8.38140350877193,4.23140495867769,4.28695652173913,6.07864406779661,5.82142857142857
"33",9,"n",124,85,7.84320843091335,8.10009523809524,4.31147540983607,4.29761904761905,5.85241666666667,5.85204819277108
"34",10,"n",107,85,9.62889719626168,8.35516049382716,4.50943396226415,4.39506172839506,5.95352380952381,5.90038961038961
"35",11,"n",96,116,7.71894736842106,7.15310779816514,4.32291666666667,4.65137614678899,5.97184782608696,6.03264705882353
"36",12,"n",117,80,8.09717391304348,9.14034810126583,4.37719298245614,4.3974358974359,5.93378378378378,5.84890410958904
"37",13,"n",124,99,7.87830578512397,10.0342171717172,4.14876033057851,4.13131313131313,6.02923728813559,6.09040404040404
"38",14,"n",116,113,9.28434782608696,6.79216814159292,4.18103448275862,3.77391304347826,5.94398230088496,6.07423423423423
"39",15,"n",113,96,10.5022342342342,11.1494680851064,4.35135135135135,4.30851063829787,5.81666666666667,5.93434782608696
"40",16,"n",109,99,9.14087155963303,9.31646808510638,4.76146788990826,4.53684210526316,5.84472222222222,5.90397727272727
"41",17,"n",128,99,6.38361607142857,10.272601010101,3.9453125,4.33333333333333,6.11308943089431,5.97147368421053
"42",18,"n",105,153,8.42928571428572,11.0178095238095,4.58653846153846,4.74666666666667,5.82333333333333,5.969375
"43",19,"n",111,79,7.11454545454545,10.0175641025641,4.1651376146789,4.47435897435897,6.13625,5.77324675324675
"44",20,"n",121,154,9.60166666666667,8.87066666666667,4.325,3.88666666666667,6.10551724137931,5.99347222222222
"45",21,"n",150,85,8.28948545861298,9.96109756097561,4.53691275167785,4.70238095238095,5.97371621621622,5.94481012658228
"46",22,"n",115,110,7.10040455120101,11.4381481481482,4.52212389380531,4.21296296296296,6.03171171171171,6.02575471698113
"47",23,"n",123,101,9.65311475409836,9.556,4.5983606557377,4.39,5.90823529411765,5.98427083333333
"48",24,"n",108,100,7.60037037037037,8.39868041237113,4.26851851851852,4.4020618556701,5.80981481481481,6.12032967032967
